refund_id,transaction_id,merchant_id,refund_amount,currency,refund_amount_cad,refund_type,refund_reason,created_at,status,same_day_refund
REF0000045,TXN00004196,M005,14.42,CAD,14.42,full,product_not_received,2024-04-21 07:59:00,completed,False
REF0000046,TXN00043231,M006,34.7,USD,47.19,partial,customer_request,2024-02-13 02:40:00,completed,False
REF0000047,TXN00032696,M006,77.5,CAD,77.5,full,other,2024-10-12 18:44:00,completed,False
REF0000048,TXN00044950,M002,592.81,CAD,592.81,full,product_not_received,2024-07-06 03:40:00,completed,True
REF0000049,TXN00022072,M006,37.76,CAD,37.76,full,fraud,2024-03-11 10:50:00,completed,False
REF0000050,TXN00001009,M004,111.15,USD,151.16,full,duplicate,2024-07-03 05:17:00,completed,False
REF0000051,TXN00006095,M004,34.28,EUR,50.73,full,duplicate,2024-10-26 23:10:00,completed,False
REF0000052,TXN00017234,M008,82.83,USD,112.65,partial,product_not_received,2024-06-17 19:05:00,completed,False
REF0000053,TXN00049067,M001,7.94,USD,10.8,partial,other,2024-05-16 05:45:00,completed,False
REF0000054,TXN00041007,M006,6.35,CAD,6.35,partial,other,2025-01-05 13:06:00,completed,False
REF0000055,TXN00005966,M010,38.94,CAD,38.94,full,product_not_received,2024-10-05 03:03:00,completed,False
REF0000056,TXN00015110,M006,9.77,USD,13.29,partial,other,2024-09-06 19:51:00,completed,False
REF0000057,TXN00011904,M004,127.67,USD,173.63,full,other,2024-12-29 15:52:00,failed,False
REF0000058,TXN00048351,M006,30.14,CAD,30.14,partial,product_not_received,2024-02-01 10:44:00,completed,False
REF0000059,TXN00021041,M006,85.67,USD,116.51,full,fraud,2024-06-02 23:35:00,completed,False
REF0000060,TXN00037767,M009,2.86,EUR,4.23,partial,fraud,2024-05-01 13:53:00,completed,False
REF0000061,TXN00018133,M004,59.94,USD,81.52,full,fraud,2024-05-30 20:24:00,completed,False
REF0000062,TXN00002086,M003,649.34,USD,883.1,full,fraud,2024-04-25 23:40:00,completed,False
REF0000063,TXN00029481,M009,176.92,CAD,176.92,full,duplicate,2024-12-21 23:59:00,completed,False
REF0000064,TXN00006738,M001,14.36,CAD,14.36,full,other,2024-11-24 20:43:00,completed,False
REF0000065,TXN00011858,M001,48.02,CAD,48.02,partial,duplicate,2024-08-29 23:31:00,completed,True
REF0000066,TXN00048175,M008,374.11,CAD,374.11,full,fraud,2024-08-07 14:04:00,completed,False
REF0000067,TXN00029637,M008,27.61,CAD,27.61,partial,product_not_received,2025-01-16 16:38:00,completed,False
REF0000068,TXN00030840,M001,15.05,CAD,15.05,partial,customer_request,2024-04-16 01:15:00,completed,False
REF0000069,TXN00038785,M010,3.78,EUR,5.59,partial,other,2024-02-22 19:39:00,completed,True
REF0000070,TXN00026726,M003,118.49,CAD,118.49,full,duplicate,2024-04-23 07:07:00,completed,False
REF0000071,TXN00047039,M005,59.67,CAD,59.67,partial,fraud,2024-04-21 14:54:00,completed,False
REF0000072,TXN00008770,M004,12.8,CAD,12.8,full,fraud,2024-03-20 17:55:00,completed,False
REF0000073,TXN00038245,M010,20.39,CAD,20.39,full,fraud,2024-12-02 01:07:00,completed,False
REF0000074,TXN00033607,M009,51.41,USD,69.92,partial,product_not_received,2024-08-21 15:05:00,pending,False
REF0000075,TXN00046369,M006,37.5,USD,51.0,partial,fraud,2024-08-15 07:03:00,completed,False
REF0000076,TXN00009228,M010,175.55,CAD,175.55,full,customer_request,2024-11-11 07:21:00,completed,False
REF0000077,TXN00031335,M010,12.89,EUR,19.08,partial,other,2024-09-03 05:49:00,completed,False
REF0000078,TXN00049789,M003,1.12,CAD,1.12,partial,fraud,2024-11-20 12:08:00,completed,True
REF0000079,TXN00047218,M003,337.58,CAD,337.58,full,other,2024-06-10 07:33:00,completed,False
REF0000080,TXN00017556,M005,8.94,USD,12.16,partial,duplicate,2024-06-22 15:59:00,completed,False
REF0000081,TXN00025264,M002,107.9,USD,146.74,full,other,2024-03-14 00:45:00,completed,True
REF0000082,TXN00047883,M004,28.31,CAD,28.31,full,duplicate,2024-04-07 07:27:00,completed,False
REF0000083,TXN00036773,M005,22.26,EUR,32.94,partial,fraud,2024-06-15 14:33:00,completed,False
REF0000084,TXN00042648,M003,5.4,CAD,5.4,partial,fraud,2024-11-01 13:25:00,completed,False
REF0000085,TXN00029638,M002,128.83,USD,175.21,full,fraud,2024-03-10 18:35:00,completed,False
REF0000086,TXN00041791,M004,1.11,USD,1.51,partial,customer_request,2024-05-03 08:02:00,completed,False
REF0000087,TXN00022942,M010,46.42,EUR,68.7,full,duplicate,2024-03-07 23:09:00,completed,True
REF0000088,TXN00028295,M005,22.69,CAD,22.69,full,fraud,2024-12-09 11:52:00,completed,False
REF0000089,TXN00034806,M003,15.21,USD,20.69,full,other,2024-12-05 22:43:00,completed,False
REF0000090,TXN00005340,M010,72.83,CAD,72.83,partial,other,2024-02-21 02:37:00,completed,True
REF0000091,TXN00028421,M009,69.73,CAD,69.73,full,product_not_received,2024-01-17 02:25:00,completed,False
REF0000092,TXN00047896,M008,9.93,CAD,9.93,full,duplicate,2024-12-30 09:55:00,completed,False
REF0000093,TXN00043950,M008,95.79,USD,130.27,full,fraud,2024-06-18 12:09:00,completed,False
REF0000094,TXN00044270,M009,162.79,USD,221.39,full,fraud,2024-07-18 02:55:00,completed,True
REF0000095,TXN00038209,M005,1.89,CAD,1.89,partial,duplicate,2024-08-17 22:14:00,completed,False
REF0000096,TXN00020457,M006,14.41,CAD,14.41,partial,product_not_received,2024-02-02 14:01:00,completed,True
REF0000097,TXN00040166,M001,7.96,CAD,7.96,partial,other,2024-08-31 16:01:00,completed,False
REF0000098,TXN00042381,M004,6.58,CAD,6.58,partial,fraud,2024-12-10 01:19:00,completed,False
REF0000099,TXN00019200,M001,11.73,CAD,11.73,full,customer_request,2024-01-20 17:18:00,completed,False
REF0000100,TXN00035585,M006,27.29,EUR,40.39,full,customer_request,2024-02-07 01:55:00,completed,False
REF0000101,TXN00048807,M005,20.81,USD,28.3,partial,other,2024-01-31 18:44:00,completed,False
REF0000102,TXN00023166,M005,37.16,USD,50.54,full,duplicate,2024-04-11 09:15:00,completed,False
REF0000103,TXN00007356,M008,1.39,USD,1.89,partial,duplicate,2024-09-05 13:05:00,completed,False
REF0000104,TXN00024714,M001,34.01,CAD,34.01,full,other,2025-01-04 17:43:00,completed,False
REF0000105,TXN00032331,M006,30.06,CAD,30.06,partial,other,2024-06-02 23:35:00,completed,False
REF0000106,TXN00042785,M008,32.99,CAD,32.99,full,other,2024-03-16 15:05:00,completed,False
REF0000107,TXN00020078,M008,46.58,EUR,68.94,full,other,2025-01-27 00:31:00,completed,False
REF0000108,TXN00035427,M001,17.48,CAD,17.48,partial,product_not_received,2024-01-27 14:21:00,completed,False
REF0000109,TXN00012733,M003,132.54,CAD,132.54,full,product_not_received,2024-10-21 15:48:00,completed,False
REF0000110,TXN00016695,M004,14.11,CAD,14.11,full,other,2024-05-18 10:33:00,completed,False
REF0000111,TXN00002441,M006,15.22,CAD,15.22,partial,fraud,2024-06-16 07:28:00,completed,False
REF0000112,TXN00016808,M001,75.57,CAD,75.57,partial,product_not_received,2024-05-25 19:54:00,completed,False
REF0000113,TXN00045575,M005,16.32,CAD,16.32,full,customer_request,2024-10-01 01:10:00,completed,False
REF0000114,TXN00039485,M006,49.2,EUR,72.82,full,customer_request,2024-10-10 22:46:00,completed,True
REF0000115,TXN00006390,M008,1.85,CAD,1.85,partial,duplicate,2024-03-12 03:19:00,completed,False
REF0000116,TXN00040487,M008,29.62,USD,40.28,partial,customer_request,2024-03-04 00:35:00,completed,False
REF0000117,TXN00037545,M001,2.17,CAD,2.17,partial,duplicate,2024-04-03 13:53:00,completed,False
REF0000118,TXN00039557,M003,51.54,CAD,51.54,full,customer_request,2024-12-31 12:46:00,completed,False
REF0000119,TXN00040817,M002,70.89,CAD,70.89,full,customer_request,2024-02-20 07:08:00,completed,False
REF0000120,TXN00001834,M006,21.87,CAD,21.87,full,product_not_received,2024-05-10 04:13:00,completed,False
REF0000121,TXN00022679,M003,9.39,USD,12.77,partial,product_not_received,2024-09-09 22:40:00,completed,False
REF0000122,TXN00019298,M006,102.97,USD,140.04,partial,product_not_received,2024-10-06 20:08:00,completed,False
REF0000123,TXN00041681,M003,23.17,CAD,23.17,full,product_not_received,2024-01-07 06:39:00,pending,False
REF0000124,TXN00027000,M006,11.33,CAD,11.33,partial,other,2024-07-01 13:39:00,completed,False
REF0000125,TXN00017589,M009,9.59,USD,13.04,full,fraud,2024-02-15 05:24:00,completed,False
REF0000126,TXN00042987,M004,36.0,EUR,53.28,full,customer_request,2024-11-30 06:29:00,completed,False
REF0000127,TXN00008995,M009,9.22,USD,12.54,partial,fraud,2024-07-21 02:19:00,completed,False
REF0000128,TXN00000773,M003,21.93,USD,29.82,full,customer_request,2024-11-21 13:04:00,completed,False
REF0000129,TXN00045287,M002,190.39,CAD,190.39,partial,product_not_received,2024-06-15 06:31:00,completed,False
REF0000130,TXN00042554,M001,275.46,CAD,275.46,full,other,2024-11-17 15:21:00,completed,True
REF0000131,TXN00020423,M010,41.14,USD,55.95,full,product_not_received,2024-09-14 06:42:00,completed,True
REF0000132,TXN00012359,M002,12.91,CAD,12.91,full,customer_request,2024-05-11 01:58:00,completed,False
REF0000133,TXN00032214,M004,37.65,CAD,37.65,full,customer_request,2024-11-03 10:03:00,completed,True
REF0000134,TXN00010575,M009,121.81,USD,165.66,full,customer_request,2024-12-28 06:19:00,completed,True
REF0000135,TXN00028518,M009,30.9,USD,42.02,full,customer_request,2024-03-29 20:00:00,completed,False
REF0000136,TXN00022613,M008,0.91,USD,1.24,full,other,2024-05-12 05:47:00,completed,False
REF0000137,TXN00000920,M006,81.45,USD,110.77,full,product_not_received,2024-02-23 01:01:00,completed,False
REF0000138,TXN00005301,M005,76.72,USD,104.34,full,customer_request,2024-06-05 13:56:00,completed,True
REF0000139,TXN00024370,M001,12.86,CAD,12.86,partial,customer_request,2024-12-16 07:35:00,completed,False
REF0000140,TXN00010811,M003,44.62,USD,60.68,partial,fraud,2024-03-19 21:51:00,completed,False
REF0000141,TXN00044604,M002,37.86,CAD,37.86,full,customer_request,2024-08-14 14:48:00,completed,False
REF0000142,TXN00023516,M005,156.93,USD,213.42,full,other,2024-04-26 19:31:00,completed,False
REF0000143,TXN00014191,M003,702.83,CAD,702.83,full,customer_request,2024-02-22 10:59:00,completed,False
REF0000144,TXN00004286,M005,291.51,CAD,291.51,partial,product_not_received,2024-04-18 22:56:00,completed,False
REF0000145,TXN00023513,M003,21.54,USD,29.29,partial,fraud,2024-08-21 18:15:00,completed,False
REF0000146,TXN00026413,M005,776.92,USD,1056.61,full,customer_request,2024-02-25 13:18:00,failed,False
REF0000147,TXN00008626,M004,429.86,CAD,429.86,partial,fraud,2024-08-04 11:44:00,completed,False
REF0000148,TXN00040729,M005,17.59,CAD,17.59,partial,duplicate,2024-09-07 01:15:00,completed,False
REF0000149,TXN00000946,M010,16.76,CAD,16.76,full,customer_request,2024-02-21 14:11:00,completed,False
REF0000150,TXN00018963,M001,20.67,EUR,30.59,partial,customer_request,2025-02-02 22:34:00,completed,False
REF0000151,TXN00007360,M001,64.36,CAD,64.36,full,fraud,2024-02-11 21:37:00,completed,False
REF0000152,TXN00014938,M010,131.33,CAD,131.33,full,fraud,2024-04-24 19:39:00,completed,True
REF0000153,TXN00009343,M008,43.92,CAD,43.92,partial,fraud,2024-07-16 02:09:00,completed,True
REF0000154,TXN00018485,M004,38.43,CAD,38.43,full,other,2024-12-30 14:23:00,completed,False
REF0000155,TXN00005362,M003,14.66,EUR,21.7,full,fraud,2024-05-08 12:51:00,completed,False
REF0000156,TXN00047595,M009,426.36,CAD,426.36,full,product_not_received,2024-06-27 01:25:00,completed,False
REF0000157,TXN00042492,M010,215.45,CAD,215.45,full,fraud,2024-09-08 22:14:00,completed,False
REF0000158,TXN00005696,M005,22.43,CAD,22.43,partial,fraud,2024-04-20 12:21:00,completed,False
REF0000159,TXN00007181,M009,129.29,USD,175.83,full,product_not_received,2024-11-25 14:57:00,completed,True
REF0000160,TXN00014248,M009,24.19,USD,32.9,full,other,2024-02-02 13:58:00,completed,False
REF0000161,TXN00033091,M004,157.13,CAD,157.13,full,duplicate,2024-09-01 18:27:00,completed,False
REF0000162,TXN00043779,M010,128.3,CAD,128.3,full,product_not_received,2024-03-21 00:27:00,completed,False
REF0000163,TXN00000382,M005,33.12,USD,45.04,full,customer_request,2024-10-30 00:47:00,completed,False
REF0000164,TXN00021837,M008,61.78,CAD,61.78,full,customer_request,2024-08-28 11:48:00,completed,False
REF0000165,TXN00028598,M006,91.37,EUR,135.23,full,duplicate,2024-07-28 20:26:00,completed,False
REF0000166,TXN00021757,M005,10.71,EUR,15.85,partial,duplicate,2024-02-24 12:47:00,completed,True
REF0000167,TXN00012214,M001,14.9,USD,20.26,partial,fraud,2024-11-01 00:04:00,completed,False
REF0000168,TXN00020452,M006,84.74,CAD,84.74,partial,customer_request,2024-12-30 14:12:00,completed,True
REF0000169,TXN00021387,M008,83.1,CAD,83.1,full,customer_request,2024-12-06 02:46:00,completed,False
REF0000170,TXN00045465,M002,3.08,CAD,3.08,partial,fraud,2024-03-05 01:54:00,completed,False
REF0000171,TXN00020397,M008,30.82,USD,41.92,partial,fraud,2024-02-22 01:26:00,completed,False
REF0000172,TXN00016337,M010,69.99,CAD,69.99,full,fraud,2024-07-03 09:44:00,completed,False
REF0000173,TXN00037896,M009,95.63,CAD,95.63,full,fraud,2024-02-03 10:39:00,completed,False
REF0000174,TXN00020375,M009,10.0,USD,13.6,full,other,2024-03-21 03:11:00,completed,False
REF0000175,TXN00030584,M001,135.6,CAD,135.6,full,other,2024-04-11 12:31:00,completed,False
REF0000176,TXN00042809,M001,24.1,CAD,24.1,full,customer_request,2024-11-20 07:16:00,completed,False
REF0000177,TXN00039439,M005,117.05,CAD,117.05,full,product_not_received,2024-11-04 02:29:00,pending,True
REF0000178,TXN00022107,M002,247.21,EUR,365.87,full,product_not_received,2024-12-14 14:42:00,pending,True
REF0000179,TXN00033701,M001,1.6,CAD,1.6,partial,product_not_received,2024-05-27 22:47:00,completed,False
REF0000180,TXN00026410,M008,11.71,CAD,11.71,partial,duplicate,2024-02-23 11:43:00,completed,False
REF0000181,TXN00036922,M003,71.88,CAD,71.88,full,duplicate,2024-02-28 10:40:00,completed,False
REF0000182,TXN00046570,M001,8.3,USD,11.29,full,other,2024-10-13 02:03:00,completed,False
REF0000183,TXN00005052,M010,127.34,USD,173.18,full,other,2024-09-20 19:23:00,completed,False
REF0000184,TXN00026359,M001,121.72,USD,165.54,full,customer_request,2024-03-02 12:51:00,completed,False
REF0000185,TXN00010758,M006,134.64,USD,183.11,full,other,2024-06-20 16:45:00,completed,False
REF0000186,TXN00049984,M008,6.4,USD,8.7,partial,fraud,2024-05-13 23:20:00,completed,False
REF0000187,TXN00018349,M009,60.53,EUR,89.58,partial,product_not_received,2024-03-24 20:01:00,completed,False
REF0000188,TXN00014339,M002,54.07,CAD,54.07,full,duplicate,2025-01-16 19:58:00,completed,False
REF0000189,TXN00009454,M010,4.46,CAD,4.46,full,product_not_received,2024-06-17 01:20:00,completed,False
REF0000190,TXN00039060,M009,77.67,CAD,77.67,full,fraud,2024-06-27 14:17:00,completed,False
REF0000191,TXN00013555,M008,969.86,USD,1319.01,full,product_not_received,2024-09-21 16:18:00,completed,False
REF0000192,TXN00023839,M004,36.79,EUR,54.45,full,duplicate,2024-10-14 01:56:00,completed,False
REF0000193,TXN00000056,M009,2.55,USD,3.47,partial,fraud,2024-08-28 00:05:00,completed,False
REF0000194,TXN00001206,M003,171.7,CAD,171.7,full,duplicate,2024-12-03 21:35:00,completed,False
REF0000195,TXN00038959,M004,10.63,USD,14.46,full,duplicate,2024-11-05 01:45:00,completed,False
REF0000196,TXN00036098,M008,809.13,EUR,1197.51,full,duplicate,2024-12-02 00:03:00,completed,False
REF0000197,TXN00048559,M001,15.03,CAD,15.03,full,duplicate,2024-12-16 07:51:00,completed,False
REF0000198,TXN00048241,M002,14.33,CAD,14.33,full,duplicate,2024-12-12 02:37:00,completed,False
REF0000199,TXN00000799,M006,4.88,CAD,4.88,full,other,2024-03-10 10:23:00,completed,False
REF0000200,TXN00035164,M004,95.35,CAD,95.35,partial,other,2024-11-30 04:58:00,completed,False
REF0000201,TXN00044027,M008,26.43,USD,35.94,full,fraud,2024-06-01 23:29:00,completed,False
REF0000202,TXN00042350,M006,30.15,CAD,30.15,full,duplicate,2024-02-22 17:42:00,completed,False
REF0000203,TXN00017414,M009,36.16,CAD,36.16,full,fraud,2024-12-10 18:21:00,completed,False
REF0000204,TXN00024403,M010,14.23,USD,19.35,full,fraud,2024-07-09 12:07:00,failed,False
REF0000205,TXN00028379,M005,1.9,USD,2.58,partial,product_not_received,2024-08-30 20:21:00,completed,False
REF0000206,TXN00013711,M008,11.15,USD,15.16,full,other,2024-08-29 17:50:00,completed,False
REF0000207,TXN00003948,M008,37.22,CAD,37.22,full,product_not_received,2024-07-23 16:26:00,completed,False
REF0000208,TXN00047603,M004,463.94,CAD,463.94,full,duplicate,2024-11-24 02:23:00,completed,False
REF0000209,TXN00027697,M006,93.08,CAD,93.08,partial,other,2024-10-12 22:51:00,pending,False
REF0000210,TXN00040636,M005,149.02,CAD,149.02,full,fraud,2024-05-15 08:45:00,failed,False
REF0000211,TXN00020924,M005,40.1,USD,54.54,full,product_not_received,2024-05-18 04:46:00,completed,False
REF0000212,TXN00033101,M005,24.92,USD,33.89,partial,duplicate,2024-03-26 07:48:00,completed,False
REF0000213,TXN00012495,M006,76.06,CAD,76.06,full,product_not_received,2024-10-04 08:32:00,completed,False
REF0000214,TXN00015367,M003,27.26,CAD,27.26,full,product_not_received,2024-07-12 07:24:00,completed,False
REF0000215,TXN00009400,M009,387.8,USD,527.41,full,duplicate,2024-11-24 11:47:00,completed,False
REF0000216,TXN00003655,M003,6.01,CAD,6.01,full,other,2024-07-08 17:50:00,completed,False
REF0000217,TXN00014678,M008,11.34,USD,15.42,full,product_not_received,2024-07-19 21:58:00,completed,False
REF0000218,TXN00041528,M004,66.74,USD,90.77,full,product_not_received,2024-10-22 07:00:00,completed,False
REF0000219,TXN00033335,M010,43.11,CAD,43.11,full,duplicate,2024-10-31 11:39:00,completed,False
REF0000220,TXN00030712,M008,144.99,CAD,144.99,partial,other,2024-03-18 17:27:00,completed,True
REF0000221,TXN00001383,M006,16.95,CAD,16.95,full,customer_request,2024-06-03 04:33:00,completed,False
REF0000222,TXN00007265,M005,45.26,CAD,45.26,partial,other,2024-06-23 23:55:00,completed,False
REF0000223,TXN00043332,M008,47.5,USD,64.6,full,duplicate,2024-04-10 11:12:00,completed,False
REF0000224,TXN00046582,M003,2.83,USD,3.85,partial,other,2024-05-02 05:54:00,failed,False
REF0000225,TXN00005464,M001,5.74,CAD,5.74,full,other,2024-04-02 06:44:00,completed,False
REF0000226,TXN00017804,M003,343.75,USD,467.5,full,fraud,2024-08-03 21:03:00,completed,False
REF0000227,TXN00009235,M003,25.12,CAD,25.12,partial,fraud,2024-04-05 03:54:00,completed,False
REF0000228,TXN00005416,M008,99.41,CAD,99.41,full,customer_request,2024-09-16 07:34:00,completed,False
REF0000229,TXN00010708,M004,15.29,CAD,15.29,partial,fraud,2024-12-14 23:38:00,completed,True
REF0000230,TXN00012633,M003,694.44,EUR,1027.77,partial,duplicate,2024-08-01 20:46:00,completed,False
REF0000231,TXN00038395,M010,16.49,EUR,24.41,full,customer_request,2024-09-30 04:51:00,completed,False
REF0000232,TXN00011558,M003,122.36,USD,166.41,partial,duplicate,2025-01-12 00:46:00,completed,False
REF0000233,TXN00003819,M004,40.33,USD,54.85,full,product_not_received,2024-02-17 16:17:00,completed,False
REF0000234,TXN00003438,M004,177.09,CAD,177.09,full,customer_request,2024-12-25 16:02:00,completed,False
REF0000235,TXN00046969,M001,8.25,USD,11.22,full,duplicate,2024-12-13 12:43:00,completed,False
REF0000236,TXN00033316,M006,30.59,CAD,30.59,full,duplicate,2024-10-16 06:50:00,completed,False
REF0000237,TXN00028028,M001,77.5,CAD,77.5,full,other,2024-09-13 21:51:00,completed,False
REF0000238,TXN00044444,M004,247.09,CAD,247.09,full,other,2024-07-05 06:43:00,completed,False
REF0000239,TXN00037165,M004,3.4,EUR,5.03,full,duplicate,2024-07-16 04:37:00,completed,False
REF0000240,TXN00044984,M003,67.13,USD,91.3,full,customer_request,2024-08-03 16:01:00,completed,False
REF0000241,TXN00024737,M009,622.3,CAD,622.3,partial,duplicate,2025-01-11 12:22:00,completed,False
REF0000242,TXN00024708,M010,21.69,EUR,32.1,full,product_not_received,2024-05-17 23:11:00,pending,False
REF0000243,TXN00040974,M001,111.77,CAD,111.77,full,fraud,2024-02-23 17:01:00,completed,False
REF0000244,TXN00026670,M009,39.26,CAD,39.26,full,customer_request,2024-12-29 15:14:00,completed,True
REF0000245,TXN00004518,M006,1.83,CAD,1.83,full,product_not_received,2024-02-01 21:58:00,completed,False
REF0000246,TXN00015066,M009,52.27,CAD,52.27,full,duplicate,2024-05-24 19:19:00,completed,False
REF0000247,TXN00019661,M006,24.97,CAD,24.97,full,customer_request,2024-04-04 15:33:00,completed,False
REF0000248,TXN00023027,M010,12.55,CAD,12.55,partial,other,2024-04-20 06:31:00,completed,False
REF0000249,TXN00039956,M001,1.68,USD,2.28,partial,fraud,2024-06-18 05:57:00,pending,False
REF0000250,TXN00007088,M005,270.95,USD,368.49,full,fraud,2024-06-07 04:10:00,completed,True
REF0000251,TXN00020498,M003,37.15,USD,50.52,full,fraud,2025-02-01 01:10:00,completed,False
REF0000252,TXN00026261,M005,91.56,CAD,91.56,full,product_not_received,2024-06-16 18:28:00,completed,False
REF0000253,TXN00023039,M001,375.1,CAD,375.1,full,other,2024-06-25 10:57:00,completed,False
REF0000254,TXN00002396,M006,7.78,USD,10.58,partial,other,2024-07-09 18:51:00,completed,False
REF0000255,TXN00024771,M004,31.28,USD,42.54,full,duplicate,2024-09-24 06:12:00,completed,True
REF0000256,TXN00006428,M010,19.78,USD,26.9,full,customer_request,2024-02-05 19:57:00,completed,False
REF0000257,TXN00016373,M009,15.8,EUR,23.38,full,other,2024-06-06 23:19:00,completed,False
REF0000258,TXN00031233,M003,7.67,CAD,7.67,partial,other,2024-11-14 13:31:00,completed,False
REF0000259,TXN00000668,M003,65.74,USD,89.41,full,product_not_received,2024-03-03 04:46:00,completed,True
REF0000260,TXN00032453,M002,29.32,USD,39.88,partial,duplicate,2024-02-14 21:23:00,completed,False
REF0000261,TXN00030180,M003,199.81,EUR,295.72,full,product_not_received,2024-04-27 09:01:00,completed,False
REF0000262,TXN00007539,M009,204.04,EUR,301.98,full,duplicate,2024-09-20 20:52:00,completed,False
REF0000263,TXN00017285,M001,11.49,CAD,11.49,partial,fraud,2024-11-01 13:56:00,completed,False
REF0000264,TXN00005535,M005,13.04,EUR,19.3,full,product_not_received,2024-12-15 09:55:00,completed,False
